parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.108 2.9431e-06 2.13774e-06
-0.106 3.17627e-06 2.30731e-06
-0.104 3.42709e-06 2.48975e-06
-0.102 3.69677e-06 2.68596e-06
-0.1 3.98657e-06 2.89685e-06
-0.098 4.29782e-06 3.12341e-06
-0.096 4.63188e-06 3.36665e-06
-0.094 4.9902e-06 3.62762e-06
-0.092 5.37425e-06 3.90743e-06
-0.09 5.78555e-06 4.20721e-06
-0.088 6.22567e-06 4.52813e-06
-0.086 6.69621e-06 4.87138e-06
-0.084 7.19878e-06 5.23817e-06
-0.082 7.73498e-06 5.62972e-06
-0.08 8.30643e-06 6.04727e-06
-0.078 8.91472e-06 6.49202e-06
-0.076 9.56137e-06 6.96516e-06
-0.074 1.02479e-05 7.46785e-06
-0.072 1.09755e-05 8.00118e-06
-0.07 1.17456e-05 8.56616e-06
-0.068 1.25592e-05 9.16371e-06
-0.066 1.34173e-05 9.79463e-06
-0.064 1.43203e-05 1.04596e-05
-0.062 1.52687e-05 1.1159e-05
-0.06 1.62627e-05 1.18932e-05
-0.058 1.73017e-05 1.26621e-05
-0.056 1.83852e-05 1.34656e-05
-0.054 1.95119e-05 1.43031e-05
-0.052 2.06801e-05 1.51738e-05
-0.05 2.18876e-05 1.60765e-05
-0.048 2.31316e-05 1.70095e-05
-0.046 2.44086e-05 1.7971e-05
-0.044 2.57147e-05 1.89584e-05
-0.042 2.70449e-05 1.9969e-05
-0.04 2.8394e-05 2.09996e-05
-0.038 2.97558e-05 2.20465e-05
-0.036 3.11237e-05 2.31055e-05
-0.034 3.24904e-05 2.41723e-05
-0.032 3.38479e-05 2.5242e-05
-0.03 3.5188e-05 2.63094e-05
-0.028 3.65018e-05 2.73692e-05
-0.026 3.77803e-05 2.84156e-05
-0.024 3.90141e-05 2.94429e-05
-0.022 4.01939e-05 3.04453e-05
-0.02 4.13103e-05 3.14168e-05
-0.018 4.2354e-05 3.23518e-05
-0.016 4.33164e-05 3.32445e-05
-0.014 4.41889e-05 3.40896e-05
-0.012 4.49637e-05 3.4882e-05
-0.01 4.56338e-05 3.56171e-05
-0.008 4.61929e-05 3.62905e-05
-0.006 4.66358e-05 3.68985e-05
-0.004 4.69582e-05 3.7438e-05
-0.002 4.7157e-05 3.79063e-05
4.30211e-16 4.72305e-05 3.83015e-05
0.002 4.71778e-05 3.86223e-05
0.004 4.69995e-05 3.88681e-05
0.006 4.66975e-05 3.90387e-05
0.008 4.62746e-05 3.91347e-05
0.01 4.5735e-05 3.91575e-05
0.012 4.50838e-05 3.91087e-05
0.014 4.43272e-05 3.89906e-05
0.016 4.34722e-05 3.88062e-05
0.018 4.25263e-05 3.85585e-05
0.02 4.14981e-05 3.82512e-05
0.022 4.03962e-05 3.78883e-05
0.024 3.92298e-05 3.74739e-05
0.026 3.80081e-05 3.70125e-05
0.028 3.67406e-05 3.65084e-05
0.03 3.54364e-05 3.59665e-05
0.032 3.41046e-05 3.53914e-05
0.034 3.27542e-05 3.47877e-05
0.036 3.13935e-05 3.41598e-05
0.038 3.00303e-05 3.35121e-05
0.04 2.8672e-05 3.28485e-05
0.042 2.73253e-05 3.21732e-05
0.044 2.59661e-05 3.14898e-05
0.046 2.46682e-05 3.08189e-05
0.048 2.33936e-05 3.01362e-05
0.05 2.21498e-05 2.94517e-05
0.052 2.09412e-05 2.877e-05
0.054 1.9771e-05 2.80944e-05
0.056 1.86414e-05 2.74273e-05
0.058 1.75544e-05 2.67708e-05
0.06 1.65111e-05 2.61267e-05
0.062 1.55125e-05 2.54965e-05
0.064 1.4559e-05 2.48813e-05
0.066 1.36505e-05 2.42821e-05
0.068 1.27867e-05 2.36997e-05
0.07 1.19671e-05 2.31347e-05
0.072 1.11909e-05 2.25873e-05
0.074 1.04569e-05 2.2058e-05
0.076 9.7641e-06 2.15467e-05
0.078 9.11108e-06 2.10534e-05
0.08 8.49643e-06 2.05782e-05
0.082 7.91865e-06 2.01206e-05
0.084 7.37619e-06 1.96806e-05
0.086 6.86747e-06 1.92576e-05
0.088 6.39088e-06 1.88514e-05
0.09 5.94483e-06 1.84614e-05
0.092 5.52775e-06 1.80873e-05
0.094 5.13807e-06 1.77284e-05
0.096 4.77429e-06 1.73844e-05
0.098 4.43493e-06 1.70546e-05
0.1 4.11856e-06 1.67385e-05
0.102 3.82381e-06 1.64356e-05
0.104 3.54936e-06 1.61454e-05
0.106 3.29395e-06 1.58673e-05
0.108 3.05637e-06 1.56008e-05
0.11 2.83548e-06 1.53454e-05
0.112 2.6302e-06 1.51006e-05
0.114 2.43949e-06 1.48659e-05
0.116 2.26238e-06 1.46408e-05
0.118 2.09796e-06 1.44249e-05
0.12 1.94536e-06 1.42177e-05
0.122 1.80378e-06 1.40189e-05
0.124 1.67245e-06 1.3828e-05
0.126 1.55065e-06 1.36446e-05
0.128 1.43773e-06 1.34683e-05
0.13 1.33304e-06 1.32989e-05
0.132 1.23602e-06 1.31359e-05
0.134 1.14611e-06 1.29791e-05
0.136 1.0628e-06 1.28281e-05
0.138 9.85625e-07 1.26826e-05
0.14 9.14132e-07 1.25425e-05
0.142 8.47912e-07 1.24073e-05
0.144 7.86583e-07 1.22769e-05
0.146 7.29787e-07 1.2151e-05
0.148 6.77193e-07 1.20294e-05
0.15 6.28492e-07 1.19119e-05
0.152 5.834e-07 1.17983e-05
0.154 5.41649e-07 1.16883e-05
0.156 5.02994e-07 1.15819e-05
0.158 4.67205e-07 1.14789e-05
0.16 4.34071e-07 1.1379e-05
0.162 4.03394e-07 1.12821e-05
0.164 3.74993e-07 1.11882e-05
0.166 3.48697e-07 1.1097e-05
0.168 3.24352e-07 1.10084e-05
0.17 3.0181e-07 1.09223e-05
0.172 2.80938e-07 1.08386e-05
0.174 2.61611e-07 1.07572e-05
0.176 2.43715e-07 1.0678e-05
0.178 2.27141e-07 1.06009e-05
0.18 2.11792e-07 1.05257e-05
0.182 1.97575e-07 1.04525e-05
0.184 1.84407e-07 1.0381e-05
0.186 1.72209e-07 1.03114e-05
0.188 1.60907e-07 1.02433e-05
0.19 1.50436e-07 1.01769e-05
0.192 1.40733e-07 1.0112e-05
0.194 1.31741e-07 1.00486e-05
0.196 1.23405e-07 9.98663e-06
0.198 1.15679e-07 9.92598e-06
0.2 1.08515e-07 9.86664e-06
0.202 1.01871e-07 9.80855e-06
0.204 9.57098e-08 9.75167e-06
0.206 8.99941e-08 9.69595e-06
0.208 8.46909e-08 9.64134e-06
0.21 7.97695e-08 9.58781e-06
0.212 7.52014e-08 9.53531e-06
0.214 7.09601e-08 9.48381e-06
0.216 6.70215e-08 9.43328e-06
0.218 6.33629e-08 9.38368e-06
0.22 5.99634e-08 9.33498e-06
0.222 5.6804e-08 9.28715e-06
0.224 5.38666e-08 9.24016e-06
0.226 5.11349e-08 9.19398e-06
0.228 4.85936e-08 9.14858e-06
0.23 4.62285e-08 9.10395e-06
0.232 4.40268e-08 9.06005e-06
0.234 4.19762e-08 9.01687e-06
0.236 4.00656e-08 8.97438e-06
0.238 3.82848e-08 8.93257e-06
0.24 3.66242e-08 8.8914e-06
0.242 3.50749e-08 8.85087e-06
0.244 3.36288e-08 8.81096e-06
0.246 3.22783e-08 8.77164e-06
0.248 3.10165e-08 8.7329e-06
0.25 2.98369e-08 8.69473e-06
0.252 2.87334e-08 8.6571e-06
0.254 2.77007e-08 8.62001e-06
0.256 2.67335e-08 8.58344e-06
0.258 2.5827e-08 8.54738e-06
0.26 2.4977e-08 8.51181e-06
0.262 2.41794e-08 8.47673e-06
0.264 2.34304e-08 8.44211e-06
0.266 2.27265e-08 8.40795e-06
0.268 2.20646e-08 8.37423e-06
0.27 2.14416e-08 8.34096e-06
0.272 2.08547e-08 8.3081e-06
0.274 2.03015e-08 8.27567e-06
0.276 1.97796e-08 8.24364e-06
0.278 1.92867e-08 8.212e-06
0.28 1.8821e-08 8.18075e-06
0.282 1.83803e-08 8.14988e-06
0.284 1.79632e-08 8.11939e-06
0.286 1.75678e-08 8.08925e-06
0.288 1.71928e-08 8.05947e-06
0.29 1.68368e-08 8.03003e-06
0.292 1.64984e-08 8.00094e-06
0.294 1.61765e-08 7.97218e-06
0.296 1.587e-08 7.94374e-06
4.89516e-307 0 0
